code UIC complet;libellé point d'arrêt;libellé;libellé STIF (info voyageurs);libellé SMS gare;nom gare;adresse;code INSEE commune;commune;X;Y;Guichet adapté PMR;Boucle magnétique;Portes automatiques d'accès au BV;Bandes d'éveil de vigilance ;CAB Passage Elargi Contrôlé (nombre);Nombre d'ascenceurs (1);Escaliers mécaniques (Nbre);Abris à vélos (Nombre) ;Gare non SNCF
87683227;SAINT-JULIEN DU SAULT;SAINT-JULIEN DU SAULT;GARE DE ST JULIEN DU SAULT;;;;89348; Saint-Julien-du-Sault;672073;2336854;;;;;;;;;0
87276402;SAINT-LEU D'ESSERENT;SAINT-LEU D'ESSERENT;GARE DE ST LEU D ESSERENT;;;;60584; Saint-Leu-d'Esserent;605954;2468490;;;;;;;;;0
87276600;SAINT-LEU LA FORET;SAINT-LEU LA FORET;GARE DE ST LEU LA FORET;St Leu la F;Saint-Leu-la-Forêt;Place Cyrille Lecomte 95320 Saint-Leu-la-Forêt;95563; Saint-Leu-la-Forêt;593124;2446419; ; ;0;0;Pas de CAB;0;;1;0
87682294;SAINT-MAMMES;SAINT-MAMMES;GARE DE ST MAMMES;;Saint-Mammès;Rue de la gare 77670 Saint-Mammès;77419; Saint-Mammès;635516;2376026;0;1;0;0;Pas de CAB;0;;1;0
87545350;SAINT-MARTIN D'ETAMPES;SAINT-MARTIN D'ETAMPES;GARE DE ST MARTIN D ETAMPES;St Martin;Saint-Martin-d'Etampes;Rue Salvador Allende 91150   Etampes ;91223; Etampes;585838;2380987;0;1;0;0;Pas de CAB;0;;1;0
87758151;SAINT-MAUR CRETEIL;SAINT-MAUR CRETEIL;GARE DE ST MAUR CRETEIL;;;;94068; Saint-Maur-des-Fossés;609981;2423111;;;;;;;;;1
87785436;SAINT-MICHEL NOTRE DAME;SAINT-MICHEL NOTRE DAME;ST MICHEL ND RER B;;;;75104; Paris;600537;2428345;;;;;;;;;1
87547315;SAINT-MICHEL NOTRE DAME;SAINT-MICHEL NOTRE DAME;ST MICHEL ND RER C;St Michel ND;Saint-Michel-Notre-Dame;Quai Saint Michel 75005   Paris ;75104; Paris;600540;2428349;0;1;0;1;Pas de CAB;0;;0;0
87545202;SAINT-MICHELSUR ORGE;SAINT-MICHELSUR ORGE;GARE DE ST MICHEL SUR ORGE;St Michel /O;Saint-Michel-sur-Orge;Rue Anatole France 91240   Saint-Michel-sur-Orge ;91570; Saint-Michel-sur-Orge;597795;2404078;1;1;1;0;Pas de CAB;0;;1;0
87382481;SAINT-NOM LA BRETECHE FORET DE MARLY;SAINT-NOM LA BRETECHE FORET DE MARLY;GARE DE ST NOM LA BRETECHE FORET DE MARLY;St Nom la B;Saint-Nom-la-Bretèche Forêt de Marly;Route de Saint Nom la Bretèche 78620 L'Etang La Ville;78224; L'Etang-la-Ville;579039;2429991;1;1;0;1;Pas de CAB;2;;1;0
87271247;SAINT-OUEN;SAINT-OUEN;GARE DE ST OUEN;St Ouen;Saint-Ouen ;Rue Dora Maar 93400 Saint-Ouen;93070; Saint-Ouen;598966;2434120;1;1;0;0;1;1;1;0;0
87276105;SAINT-OUEN L'AUMONE;SAINT-OUEN L'AUMONE;GARE DE ST OUEN L AUMONE;St Ouen l'A;Saint-Ouen-l'Aumône;rue du 8 mai 1945 95310 Saint-Ouen-l'Aumône;95572; Saint-Ouen-l'Aumône;583177;2449738;1;1;1;1;2;0;;0;0
87337980;SAINT-OUEN L'AUMONE LIESSE;SAINT-OUEN L'AUMONE LIESSE;GARE DE ST OUEN L AUMONE LIESSE;Liesse;;;95572; Saint-Ouen-l'Aumône;584736;2448488;1;1;1;1;2;2;2;2;0
87381426;SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE;SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE;GARE DE ST OUEN L AUMONE QUARTIER DE L EGLIS;St Ouen-Q Eg;Saint-Ouen-l'Aumône-Eglise;Rue d'Eragny , 95310 Saint-Ouen-l'Aumône;95572; Saint-Ouen-l'Aumône;582965;2449131;0;1;0;0;Pas de CAB;0;;0;0
87394148;SAINT-PIAT;SAINT-PIAT;GARE DE ST PIAT;;;;28357; Saint-Piat;544867;2394007;;;;;;;;;0
87393843;SAINT-QUENTIN EN YVELINES;SAINT-QUENTIN EN YVELINES;GARE DE ST QUENTIN EN YVELINES;St Quentin;Saint-Quentin-en-Yvelines;Place Charles de Gaulle 78180 Montigny le Bretonneux;78423; Montigny-le-Bretonneux;578546;2421099;0;1;1;0;1;0;6;0;0
87116376;SAINT-REMY LA VANNE;SAINT-REMY LA VANNE;GARE DE ST REMY LA VANNE;;;;77432; Saint-Rémy-la-Vanne ;666864;2422802;;;;;;;;;0
87758896;SAINT-REMY LES CHEVREUSE;SAINT-REMY LES CHEVREUSE;GARE DE ST REMY LES CHEVREUSE;;;;78575; Saint-Rémy-lès-Chevreuse;580431;2411627;;;;;;;;;1
87116368;SAINT-SIMEON;SAINT-SIMEON;GARE DE ST SIMEON;;Saint-Siméon;La montagne 77169 Saint-Siméon;77436; Saint-Siméon;664099;2422718;;;;;;;;;0
87332973;SALLE DES FETES (ANGERVILLE);SALLE DES FETES (ANGERVILLE);SALLE DES FETES;;;;91016;Angerville;575090;2368218;;;;;;;;;0
87276188;SANNOIS;SANNOIS;GARE DE SANNOIS;Sannois;Sannois;Place Salvador Allende 95110 Sannois;95582; Sannois;594668;2441318;0;1;0;1;2;0;;0;0
87381186;SANTEUIL LE PERCHAY;SANTEUIL LE PERCHAY;GARE DE SANTEUIL LE PERCHAY;;Santeuil-le-Perchay;Rue Tour de Voisne 95640 Santeuil;95584; Santeuil;571722;2458458;0;0;0;0;Pas de CAB;0;;0;0
87276386;SARCELLES SAINT-BRICE;SARCELLES SAINT-BRICE;GARE DE SARCELLES ST BRICE;Sarcelles;Sarcelles-Saint-Brice;Boulevard du Docteur Galvani / Place de la Gare;95539; Saint-Brice-sous-Foret;602339;2444129;0;1;1;0;1;0;;1;0
87386417;SARTROUVILLE;SARTROUVILLE;GARE DE SARTROUVILLE;Sartrouville;Sartrouville;Places des fusillés par la rue Lamartine;78586; Sartrouville;586857;2437743;1;1;1;1;1;3;2;1;0
87682187;SAVIGNY LE TEMPLE NANDY;SAVIGNY LE TEMPLE NANDY;GARE DE SAVIGNY LE TEMPLE NANDY;Savigny le T;Savigny-le-Temple-Nandy;Avenue Jean Moulin 77547 Savigny le Temple;77445; Savigny-le-Temple;618199;2399672;1;1;1;1;2;0;;0;0
87545236;SAVIGNY SUR ORGE;SAVIGNY SUR ORGE;GARE DE SAVIGNY SUR ORGE;Savigny / O;Savigny-sur-Orge;Place de la Gare 91600   Savigny-sur-Orge ;91589; Savigny-sur-Orge;601128;2408603;0;1;0;0;Pas de CAB;0;;1;0
87758706;SCEAUX;SCEAUX;GARE DE SCEAUX;;;;92071; Sceaux;597109;2420331;;;;;;;;;1
87683003;SENS;SENS;GARE DE SENS;;;;89387; Sens;669207;2355847;;;;;;;;;0
87419952;SERANS;Serans;GARE DE SERANS;;;;60614; Serans;563474;2465450;;;;;;;;;0
87545517;SERMAISE;SERMAISE;GARE DE SERMAISE;Sermaise;Sermaise;Route de Dourdan 91530   Sermaise ;91593; Sermaise;580224;2393008;0;1;0;0;Pas de CAB;0;;0;0
87272039;SEUGY;SEUGY;GARE DE SEUGY;Seugy;Seugy;rue de la gare 95270 Seugy;95594; Seugy;604601;2457922;0;0;0;0;Pas de CAB;0;;0;0
87271445;SEVRAN BEAUDOTTES;SEVRAN BEAUDOTTES;GARE DE SEVRAN BEAUDOTTES;Sevran Beaud;Sevran-Beaudottes;Avenue Raoul Dautry, 93270 Sevran;93071; Sevran;613775;2438847;1;1;1;1;1;2;3;0;0
87271429;SEVRAN LIVRY;SEVRAN LIVRY;GARE DE SEVRAN LIVRY;Sevran-Livry;Sevran-Livry;1, Place de la gare, 93270 Sevran;93071; Sevran;614544;2437556;1;1;1;1;1;0;;1;0
87393124;SEVRES RIVE GAUCHE;SEVRES RIVE GAUCHE;GARE DE SEVRES RIVE GAUCHE;Sèvres RG;Sèvres Rive Gauche;1 Rue Auguste Rodin 92310 Sèvres;92072; Sèvres;591042;2424776;0;1;0;;Pas de CAB;0;;1;0
87382341;SEVRES VILLE D'AVRAY;SEVRES VILLE D'AVRAY;GARE DE SEVRES VILLE D AVRAY;Sèvres-V.A.;Sèvres-Ville-d'Avray;Place Pierre Brosselette 92310 Sèvres;92072; Sèvres;590013;2425458;0;1;0;0;Pas de CAB;0;;1;0
87684217;SOUPPES CHÂTEAU LANDON;SOUPPES CHÂTEAU LANDON;GARE DE SOUPPES;;Souppes-Château-Landon;Rue Paul Rollin 77460 Souppes-sur-Loing;77458; Souppes-sur-Loing;629649;2353725;0;1;0;1;Pas de CAB;0;;1;0
87164780;STADE DE FRANCE SAINT-DENIS;STADE DE FRANCE SAINT-DENIS;GARE DE STADE DE FRANCE ST DENIS;Stade de Fr.;Stade de France Saint-Denis;Place aux Etoiles 93200 St Denis;93066; Saint-Denis;601060;2435477;1;1;1;1;1;2;2;0;0
87758193;SUCY BONNEUIL;SUCY BONNEUIL;GARE DE SUCY BONNEUIL;;;;94071; Sucy-en-Brie;612617;2419185;;;;;;;;;1
87382374;SURESNES MONT VALERIEN;SURESNES MONT VALERIEN;GARE DE SURESNES MONT VALERIEN;Suresnes-MV;Suresnes-Mont-Valérien;Rue Worth 92150 Suresnes;92073; Suresnes;591530;2430383;1;0;1;0;2;2;2;1;0
87276261;SURVILLIERS FOSSES;SURVILLIERS FOSSES;GARE DE SURVILLIERS FOSSES;Survilliers;Survilliers-Fosses;Place Jean Moulin 95470 Survilliers;95250; Fosses;613809;2455750;1;1;1;1;1;0;;1;0
87393454;TACOIGNIERES RICHEBOURG;TACOIGNIERES RICHEBOURG;GARE DE TACOIGNIERES RICHEBOURG;Tacoignières;Tacoignières-Richebourg;Rue de la Gare 78910 Tacoignières;78605; Tacoignières;550990;2425899;0;1;0;0;Pas de CAB;0;;0;0
87276634;TAVERNY;TAVERNY;GARE DE TAVERNY;Taverny;Taverny;Place de la gare 95150 Taverny;95607; Taverny;591603;2447484;1;1;0;0;Pas de CAB;0;;1;0
87272054;THIEUX NANTOUILLET;THIEUX NANTOUILLET;GARE DE THIEUX NANTOUILLET;;Thieux-Nantouillet;Rue des Trois-villes 77230 Thieux;77462; Thieux;625179;2445676;0;0;0;0;Pas de CAB;0;;0;0
87682252;THOMERY;THOMERY;GARE DE THOMERY;;Thomery;Chemin forestier 77300 Fontainebleau;77463; Thomery;632785;2377226;0;0;0;0;Pas de CAB;0;;0;0
87381822;THUN LE PARADIS;THUN LE PARADIS;GARE DE THUN LE PARADIS;Thun le P.;Thun-le-Paradis;Rue des Annonciades 78250 Meulan;78401; Meulan;569458;2445482;0;1;0;0;Pas de CAB;0;;0;0
87758375;TORCY;TORCY;GARE DE TORCY;;;;77468; Torcy;623373;2426823;;;;;;;;;1
87116210;TOURNAN;TOURNAN;GARE DE TOURNAN;Tournan;Tournan;1 rue Georges Clémenceau 77220 TOURNAN-EN-BRIE;77470; Tournan-en-Brie;631119;2415717;1;1;1;1;Pas de CAB;3;;1;0
87393835;TRAPPES;TRAPPES;GARE DE TRAPPES;Trappes;Trappes;Avenue Gabriel Péri 78 190 Trappes;78621; Trappes;575748;2419673;1;1;1;0;1;0;;1;0
87381236;TRIE CHATEAU;TRIE CHATEAU;GARE DE TRIE CHATEAU;;;;60644; Trie-Château;562253;2476222;;;;;;;;;0
87381806;TRIEL SUR SEINE;TRIEL SUR SEINE;GARE DE TRIEL SUR SEINE;Triel/Seine;Triel-sur-Seine;Place de la Gare 78510 Triel Sur Seine;78624; Triel-sur-Seine;575765;2442590;0;0;0;1;Pas de CAB;0;;1;0
87116491;TRILPORT;TRILPORT;GARE DE TRILPORT;Trilport;;;77475; Trilport;644906;2440384;1;1;1;1;Pas de CAB;0;;1;0
87381178;US;US;GARE D'US;;Us;Rue de la Gare 95450 Us;95625; Us;573254;2455807;0;1;0;0;Pas de CAB;0;;0;0
87116293;VAIRES TORCY;VAIRES TORCY;GARE DE VAIRES TORCY;Vaires Torcy;Vaires-Torcy;Place du Général de Gaulle 77360 Vaires-sur-Marne;77479; Vaires-sur-Marne;622252;2430812;1;1;1;1;Pas de CAB;3;2;1;0
87381798;VAL D'ARGENTEUIL;VAL D'ARGENTEUIL;GARE DE VAL D ARGENTEUIL;Val d'Argent;Val-d'Argenteuil;Boulevard de la Résistance 95100 Argenteuil;95018; Argenteuil;592276;2439136;1;1;1;1;2;2;2;1;0
87113712;VAL DE FONTENAY;VAL DE FONTENAY;GARE DE VAL DE FONTENAY;Val de Font.;Val-de-Fontenay;10 avenue du Val de Fontenay 94120 Fontenay-sous-Bois;94033; Fontenay-sous-Bois;611300;2428798;0;1;0;1;Pas de CAB;0;4;0;0
87730069;VAL D'EUROPE;VAL D'EUROPE;GARE DE VAL D EUROPE;;;;77449; Serris;632200;2428726;;;;;;;;;1
87276535;VALMONDOIS;VALMONDOIS;GARE DE VALMONDOIS;Valmondois;Valmondois;Rue du Port aux Loups 95430 Butry-sur-Oise;95120; Butry-sur-Oise;590197;2454880;1;1;0;0;Pas de CAB;0;;1;0
87391532;VANVES MALAKOFF;VANVES MALAKOFF;GARE DE VANVES MALAKOFF;Vanves;Vanves-Malakoff;Place Albert Culot 92170 Vanves;92075; Vanves;596696;2424460;0;1;0;0;Pas de CAB;0;;1;0
87393538;VAUBOYEN;VAUBOYEN;GARE DE VAUBOYEN;Vauboyen;Vauboyen;Rue de Vauboyen 78350   Jouy-en-Josas ;78322; Jouy-en-Josas;589373;2417861;0;1;0;0;Pas de CAB;0;;0;0
87276626;VAUCELLES;VAUCELLES;GARE DE VAUCELLES;Vaucelles;Vaucelles;Rue de Vaucelles 95150 Taverny;95607; Taverny;592260;2447038;1;0;1;0;Pas de CAB;0;;0;0
87382267;VAUCRESSON;VAUCRESSON;GARE DE VAUCRESSON;Vaucresson;Vaucresson;Place de Charles de Gaulle 92420 Vaucresson;92076; Vaucresson;586489;2426507;1;0;0;0;Pas de CAB;2;;0;0
87381814;VAUX SUR SEINE;VAUX SUR SEINE;GARE DE VAUX SUR SEINE;Vaux/Seine;Vaux-sur-Seine;Avenue de la gare 78740 Vaux Sur Seine;78638; Vaux-sur-Seine;572700;2445495;0;1;0;0;Pas de CAB;0;;1;0
87116079;VERNEUIL L'ETANG;VERNEUIL L'ETANG;GARE DE VERNEUIL L ETANG;Verneuil;;;77493; Verneuil-l'Etang;635987;2405248;0;1;0;0;Pas de CAB;0;;1;0
87415604;VERNON;VERNON;GARE DE VERNON;;;;27681; Vernon;537281;2455154;;;;;;;;;0
87682468;VERNOU SUR SEINE;VERNOU SUR SEINE;GARE DE VERNOU SUR SEINE;;Vernou-sur-Seine;route de montereau 77670 Vernou-le-Celle-sur-Seine;77494; Vernou-la-Celle-sur-Seine;637477;2376596;0;0;0;0;Pas de CAB;0;;1;0
87386656;VERNOUILLET VERNEUIL;VERNOUILLET VERNEUIL;GARE DE VERNOUILLET VERNEUIL;Vernouillet;Vernouillet-Verneuil;Place Charles de Gaulle 78480 Verneuil Sur Seine;78642; Verneuil-sur-Seine;574097;2442641;0;0;0;0;1;0;;1;0
87393009;VERSAILLES CHANTIERS;VERSAILLES CHANTIERS;GARE DE VERSAILLES CHANTIERS;VersaillesCh;Versailles-Chantiers;4 Rue de l'Abbé Rousseau 78000 Versailles;78646; Versailles;585222;2421924;0;1;1;0;2;4;5;0;0
87382861;VERSAILLES RIVE DROITE;VERSAILLES RIVE DROITE;GARE DE VERSAILLES RIVE DROITE;VersaillesRD;Versailles Rive Droite;40, Rue du Maréchal Foch 78000  Versailles ;78646; Versailles;585225;2423487;1;0;0;0;1;1;1;1;0
87393157;VERSAILLES RIVE GAUCHE - CHÂTEAU DE VERSAILLES;VERSAILLES RIVE GAUCHE - CHÂTEAU DE VERSAILLES;GARE DE VERSAILLES RIVE GAUCHE;VersaillesRG;Versailles Rive Gauche - Château;5, Avenue du Général De Gaulle 78000   Versailles ;78646; Versailles;584681;2422427;1;1;1;0;1;0;;1;0
87271437;VERT GALANT;VERT GALANT;GARE DE VERT GALANT;Vert Galant;Vert-Galant;3, Place de la Gare, 93420 Villepinte;93078; Villepinte;616874;2438511;1;1;0;1;1;0;;1;0
87276568;VIARMES;VIARMES;GARE DE VIARMES;Viarmes;Viarmes;Place de la gare 95270 Viarmes;95652; Viarmes;602287;2457596;1;1;0;0;Pas de CAB;0;;0;0
87681304;VIGNEUX SUR SEINE;VIGNEUX SUR SEINE;GARE DE VIGNEUX SUR SEINE;Vigneux;Vigneux-sur-Seine;Place Robert Lakota 91270 Vigneux Sur Seine;91657; Vigneux-sur-Seine;605738;2412198;0;1;0;;1;0;;1;0
87681619;VILLABE;VILLABE;GARE DE VILLABE;Villabé;Villabé;Avenue de la Gare 91100 Villabé;91659; Villabé;609226;2399357;0;1;1;0;Pas de CAB;0;;1;0
87272021;VILLAINES;VILLAINES;GARE DE VILLAINES;Villaines;Villaines;Rue de la Halte Villaines 95570 Villaines-sous-Bois;95660; Villaines-sous-Bois;601026;2453477;0;0;0;0;Pas de CAB;0;;0;0
87683102;VILLENEUVE LA GUYARD;VILLENEUVE LA GUYARD;GARE DE VILLENEUVE LA GUYARD;;;;89460; Villeneuve-la-Guyard;654518;2371804;;;;;;;;;0
87545277;VILLENEUVE LE ROI;VILLENEUVE LE ROI;GARE DE VILLENEUVE LE ROI;Villeneuve;Villeneuve-le-Roi;Place de la Gare 94290   Villeneuve-le-Roi ;94077; Villeneuve-le-Roi;606599;2415707;0;1;0;0;Pas de CAB;0;;1;0
87681858;VILLENEUVE PRAIRIE;VILLENEUVE PRAIRIE;GARE DE VILLENEUVE PRAIRIE;Villeneuve P;Villeneuve-Prairie;Chemin des Vaches;94078; Villeneuve-Saint-Georges;607122;2418531;0;0;0;0;Pas de CAB;0;;0;0
87681825;VILLENEUVE SAINT-GEORGES;VILLENEUVE SAINT-GEORGES;GARE DE VILLENEUVE ST GEORGES;Villeneuve S;Villeneuve-Saint-Georges;Place Pierre Sémart 94190 Villeneuve St Georges;94078; Villeneuve-Saint-Georges;608100;2414613;1;1;0;1;1;0;1;1;0
87683219;VILLENEUVE SUR YONNE;VILLENEUVE SUR YONNE;GARE DE VILLENEUVE SUR YONNE;;;;89464; Villeneuve-sur-Yonne;670766;2343287;;;;;;;;;0
87681809;VILLENEUVE TRIAGE;VILLENEUVE TRIAGE;GARE DE VILLENEUVE TRIAGE;Villeneuve T;Villeneuve-Triage;2 Avenue de Choisy 94190 Villeneuve St Georges;94078; Villeneuve-Saint-Georges;607494;2416358;0;1;0;0;Pas de CAB;0;;1;0
87386649;VILLENNES SUR SEINE;VILLENNES SUR SEINE;GARE DE VILLENNES SUR SEINE;Villennes/S.;Villennes-sur-Seine;70 Place de la Libération 78670 Villennes sur Seine;78672; Villennes-sur-Seine;575295;2437974;0;1;0;0;Pas de CAB;0;;1;0
87271510;VILLEPARISIS MITRY LE NEUF;VILLEPARISIS MITRY LE NEUF;GARE DE VILLEPARISIS MITRY LE NEUF;Villeparisis;Villeparisis-Mitry-le-Neuf;2, Place du 19 Mars 1962, 77290 Mitry Le Neuf;77294; Mitry-Mory;619503;2439483;1;1;1;1;1;0;;0;0
87271452;VILLEPINTE;VILLEPINTE;GARE DE VILLEPINTE;Villepinte;Villepinte;Route Camille Pissaro, 93420 Villepinte;93078; Villepinte;612872;2440552;1;1;1;1;1;0;;1;0
87393413;VILLEPREUX LES CLAYES;VILLEPREUX LES CLAYES;GARE DE VILLEPREUX LES CLAYES;Villepreux;Villepreux-les-Clayes;Allée de la Gare 78340 Les Clayes Sous Bois;78165; Les Clayes-sous-Bois;574758;2425125;1;1;0;0;1;0;;1;0
87276220;VILLIERS LE BEL GONESSE ARNOUVILLE;VILLIERS LE BEL GONESSE ARNOUVILLE;GARE DE VILLIERS LE BEL GONESSE ARNOUVILLE;Villiers Bel;Villiers-le-Bel-Gonesse-Arnouville;1 Place Général Leclerc  95400 Villilers le Bel;95019; Arnouville-les-Gonesse;605827;2444009;0;1;0;1;1;0;;0;0
87116749;VILLIERS MONTBARBIN;VILLIERS MONTBARBIN;GARE DE VILLIERS MONTBARBIN;;Villiers-Montbarbin;Rue du souterrain 77580 Crécy-la-Chapelle;77142; Villiers-sur-Morin;640116;2429564;0;0;0;0;Pas de CAB;0;;0;0
87393884;VILLIERS NEAUPHLE PONTCHARTRAIN;VILLIERS NEAUPHLE PONTCHARTRAIN;GARE DE VILLIERS NEAUPHLE PONTCHARTRAIN;Villiers N.;Villiers-Neauphles-Pontchartrain;Place de la Gare 78640 Villiers Saint Frédérique;78683; Villiers-Saint-Fréderic;566250;2424213;0;1;0;0;Pas de CAB;0;;0;0
87113795;VILLIERS SUR MARNE PLESSIS TREVISE;VILLIERS SUR MARNE PLESSIS TREVISE;GARE DE VILLIERS SUR MARNE PLESSIS TREVISE;Villiers;Villiers-sur-Marne-Le Plessis-Trévise;place Pierre Sémard 94350 VILLIERS-SUR-MARNE;94079; Villiers-sur-Marne;615121;2424997;1;1;1;1;1;2;3;1;0
87758110;VINCENNES;VINCENNES;GARE DE VINCENNES;;;;94080; Vincennes;607106;2427667;;;;;;;;;1
87382887;VIROFLAY RIVE DROITE;VIROFLAY RIVE DROITE;GARE DE VIROFLAY RIVE DROITE;Viroflay RD;Viroflay Rive Droite;1 Place de Stalingrad;78686; Viroflay;587642;2423038;0;1;0;0;Pas de CAB;0;;0;0
87393215;VIROFLAY RIVE GAUCHE;VIROFLAY RIVE GAUCHE;GARE DE VIROFLAY RIVE GAUCHE;Viroflay-RG;Viroflay Rive Gauche;1 Rue Riesseuc 78220 Viroflay;78686; Viroflay;587854;2422512;1;1;1;0;1;0;3;1;0
87681312;VIRY CHATILLON;VIRY CHATILLON;GARE DE VIRY CHATILLON;Viry Chat.;Viry-Châtillon;Avenue du Général de Gaulle 91170 Viry Châtillon;91687; Viry-Châtillon;603677;2408612;1;1;0;0;Pas de CAB;0;;1;0
87545293;VITRY SUR SEINE;VITRY SUR SEINE;GARE DE VITRY SUR SEINE;Vitry /Seine;Vitry-sur-Seine;Cour de la Gare 94400   Vitry-sur-Seine ;94081; Vitry-sur-Seine;604844;2422459;1;1;1;1;2;2;1;1;0
87682500;VOSVES;VOSVES;GARE DE VOSVES;Vosves;Vosves;Rue de la Gare 77190 Dammarie Les Lys;77152; Dammarie-les-Lys;619406;2390722;0;0;0;0;Pas de CAB;0;;0;0
87545707;VOVES;VOVES;GARE DE VOVES;Yerres;;;28422; Voves;546965;2364236;;;;;;;;;0
87682443;VULAINES SUR SEINE SAMOREAU;VULAINES SUR SEINE SAMOREAU;GARE DE VULAINES SUR SEINE SAMOREAU;;Vulaines-sur-Seine-Samoreau;Avenue de la Gare , 77870 Vulaines-sur-Seine;77442; Samoreau;630814;2381381;0;0;0;0;Pas de CAB;0;;0;0
87682112;YERRES;YERRES;GARE DE YERRES;;Yerres;Place de la Gare 91330 Yerres;91691; Yerres;610814;2412035;1;1;1;;1;0;0;1;0
